date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:34:07	34/34	---MCZ	200	added ('OK')	text/plain	etag:6978a616c585d03cb5b542a891995efb	https://quicklaunchconsulting.com/robots.txt		(from )
04:34:07	301119/-1	---M--	200	added ('OK')	text/html	etag:e3f801d239b98833d6bc47662352587a	https://quicklaunchconsulting.com/	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/index.html	(from )
04:34:08	543/543	---MCZ	200	added ('OK')	application/manifest+json	etag:b27e3c3c1a913e55b41ae331b1382f77	https://quicklaunchconsulting.com/manifest.webmanifest	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/manifest.webmanifest	(from https://quicklaunchconsulting.com/)
04:34:08	32993/32993	---MCZ	200	added ('OK')	application/javascript	etag:c52263f1b587666f210962d113248368	https://quicklaunchconsulting.com/sw.js	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/sw.js	(from https://quicklaunchconsulting.com/)
04:34:09	254229/254229	---MCZ	200	added ('OK')	text/html	etag:aa9498405c438a2c9ef2a801e4fd2e37	https://quicklaunchconsulting.com/for-solopreneurs	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/for-solopreneurs.html	(from https://quicklaunchconsulting.com/)
04:34:09	254164/254164	---MCZ	200	added ('OK')	text/html	etag:9be5bbc66185591ee69629ac0feb13d4	https://quicklaunchconsulting.com/for-startups	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/for-startups.html	(from https://quicklaunchconsulting.com/)
04:34:10	223788/223788	---MCZ	200	added ('OK')	text/html	etag:812713ace5ac2625f82eae0becc4f871	https://quicklaunchconsulting.com/for-businesses	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/for-businesses.html	(from https://quicklaunchconsulting.com/)
04:34:10	83890/83890	---MCZ	200	added ('OK')	text/html	etag:da73c14eca5e34fe78ea11822ec7c7b2	https://quicklaunchconsulting.com/team-command-center	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/team-command-center.html	(from https://quicklaunchconsulting.com/)
04:34:10	40/40	---M--	302	error ('Found')	text/plain	date:Thu,%2009%20Apr%202026%2010:34:10%20GMT	https://quicklaunchconsulting.com/m/account	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/m/account	(from https://quicklaunchconsulting.com/)
04:34:10	91176/91176	---MCZ	200	added ('OK')	text/html	etag:5ac68bcf62b5864ac59e2774dbd4e2a7	https://quicklaunchconsulting.com/m/login?r=%2Fm%2Faccount	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/m/logina8b9.html	(from https://quicklaunchconsulting.com/)
04:34:10	92829/92829	---MCZ	200	added ('OK')	text/html	etag:f580a9d25c43f80a44d6c59d4f760df7	https://quicklaunchconsulting.com/m/create-account	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/m/create-account.html	(from https://quicklaunchconsulting.com/)
04:34:11	41/41	---M--	302	error ('Found')	text/plain	date:Thu,%2009%20Apr%202026%2010:34:11%20GMT	https://quicklaunchconsulting.com/m/bookings	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/m/bookings	(from https://quicklaunchconsulting.com/)
04:34:11	91176/91176	---MCZ	200	added ('OK')	text/html	etag:5ac68bcf62b5864ac59e2774dbd4e2a7	https://quicklaunchconsulting.com/m/login?r=%2Fm%2Fbookings	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/m/login55d2.html	(from https://quicklaunchconsulting.com/)
04:34:11	91114/91114	---MCZ	200	added ('OK')	text/html	etag:74abfb35d28669cbf9eaf211ba095b5a	https://quicklaunchconsulting.com/terms-of-service	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/terms-of-service.html	(from https://quicklaunchconsulting.com/)
04:34:12	92272/92272	---MCZ	200	added ('OK')	text/html	etag:2b74ed92246a021aa9eb639c2b174bdc	https://quicklaunchconsulting.com/privacy-policy	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/privacy-policy.html	(from https://quicklaunchconsulting.com/)
04:34:15	189619/189619	---MCZ	200	added ('OK')	text/html	etag:0d0d7288d819074a833aa3b61097501e	https://quicklaunchconsulting.com/tech-stack	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/tech-stack.html	(from https://quicklaunchconsulting.com/)
04:34:16	91176/91176	---MCZ	200	added ('OK')	text/html	etag:5ac68bcf62b5864ac59e2774dbd4e2a7	https://quicklaunchconsulting.com/m/login	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/m/login.html	(from https://quicklaunchconsulting.com/m/login?r=%2Fm%2Faccount)
04:34:16	189878/189878	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Apr%202026%2010:34:16%20GMT	https://quicklaunchconsulting.com/%22${href}%22${openNew?'	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/_${href}_${openNew3590	(from https://quicklaunchconsulting.com/tech-stack)
04:34:17	189878/189878	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Apr%202026%2010:34:17%20GMT	https://quicklaunchconsulting.com/translateUrl(page,	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/translateUrl(page,	(from https://quicklaunchconsulting.com/tech-stack)
04:34:17	189878/189878	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Apr%202026%2010:34:17%20GMT	https://quicklaunchconsulting.com/%22${s.href}%22	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/_${s.href}_	(from https://quicklaunchconsulting.com/tech-stack)
04:34:17	189878/189878	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Apr%202026%2010:34:17%20GMT	https://quicklaunchconsulting.com/%22${href}%22	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/_${href}_	(from https://quicklaunchconsulting.com/tech-stack)
04:34:17	189878/189878	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Apr%202026%2010:34:17%20GMT	https://quicklaunchconsulting.com/{	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/{	(from https://quicklaunchconsulting.com/tech-stack)
04:34:18	189878/189878	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Apr%202026%2010:34:18%20GMT	https://quicklaunchconsulting.com/normalize($('src').value);	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/normalize($('src').value);	(from https://quicklaunchconsulting.com/tech-stack)
04:34:18	189878/189878	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Apr%202026%2010:34:18%20GMT	https://quicklaunchconsulting.com/%22${src}%22	C:/Users/rbroi/My%20Drive/RickBroider.com/Projects/QuickLaunch%20Consulting/Website/mirror/quicklaunchconsulting.com/_${src}_	(from https://quicklaunchconsulting.com/tech-stack)
